Year,Data Type,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
1995,First Unit of Quantity,0306230040,China,1995,kilograms,0,"37,661","1,557","7,567",0,"7,206","1,756",0,0,"3,323",397,0
1995,First Unit of Quantity,0306244000,China,1995,kilograms,"6,886",0,0,0,0,0,0,0,800,970,"2,135",0
1995,First Unit of Quantity,0307100080,China,1995,kilograms,172,0,"2,752",0,0,0,0,"16,891",150,0,0,"11,065"
1995,First Unit of Quantity,0307210000,China,1995,kilograms,"19,064",0,0,0,0,0,"19,986",0,0,0,0,"20,412"
1995,First Unit of Quantity,0307290000,China,1995,kilograms,"1,570,107","1,595,684","899,950","1,221,300","764,889","1,326,420","695,002","214,598","116,541","155,177","267,240","1,235,281"
1995,First Unit of Quantity,0307310090,China,1995,kilograms,0,0,0,0,0,0,"1,885",0,0,0,0,0
1995,First Unit of Quantity,0307390000,China,1995,kilograms,"1,063",0,0,0,0,0,0,"1,256",0,0,"2,111",0
1995,First Unit of Quantity,0307410020,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,"133,358",0
1995,First Unit of Quantity,0307410040,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,0,"1,771"
1995,First Unit of Quantity,0307410060,China,1995,kilograms,0,0,0,721,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0307490010,China,1995,kilograms,0,0,0,0,0,0,"9,487",0,338,"19,958",0,"16,240"
1995,First Unit of Quantity,0307490022,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,0,"18,144"
1995,First Unit of Quantity,0307490029,China,1995,kilograms,"36,515","19,709","18,143","36,288","57,153",0,"214,074","94,443","224,750","107,267","98,170","74,776"
1995,First Unit of Quantity,0307490050,China,1995,kilograms,"98,662","20,715","7,226","18,344","72,576","290,528","361,481","155,787","259,339","97,862","151,523","50,114"
1995,First Unit of Quantity,0307490060,China,1995,kilograms,"67,415","22,727","30,480","22,330","1,260",0,"5,723","8,731","1,093","3,810",198,"4,987"
1995,First Unit of Quantity,0307510000,China,1995,kilograms,0,0,0,0,"7,430",0,"7,450",0,0,0,0,0
